0,1,down,120
0,9,right,120
1,0,up,120
1,10,right,120
1,2,down,60
2,1,up,60
2,11,right,120
3,12,right,120
3,4,down,60
4,3,up,60
4,7,right,60
5,8,right,60
5,6,down,60
6,5,up,60
6,33,right,357
7,4,left,60
7,8,down,60
8,7,up,60
8,5,left,60
8,18,right,120
9,0,left,120
9,10,down,120
9,26,right,237
10,9,up,120
10,1,left,120
10,20,right,120
10,11,down,60
11,2,left,120
11,10,up,60
11,14,right,60
12,3,left,120
12,13,down,60
12,16,right,60
13,12,up,60
13,17,right,60
14,11,left,60
14,15,down,100
15,50,left,415
15,14,up,100
15,22,right,60
15,16,down,100
16,15,up,100
16,12,left,60
16,23,right,60
17,13,left,60
17,18,down,60
17,24,right,60
18,8,left,120
18,17,up,60
19,27,right,117
19,20,down,60
20,19,up,60
20,10,left,120
20,28,right,117
21,22,down,100
21,29,right,117
22,21,up,100
22,15,left,60
22,23,down,100
23,16,left,60
23,22,up,100
23,30,right,117
24,17,left,60
24,25,down,60
24,31,right,117
25,24,up,60
25,32,right,117
26,9,left,237
26,27,down,60
27,26,up,60
27,19,left,117
27,35,right,60
28,20,left,117
28,29,down,60
29,28,up,60
29,21,left,117
29,37,right,60
30,31,down,60
30,23,left,117
31,30,up,60
31,24,left,117
31,39,right,60
32,25,left,117
32,33,down,60
33,6,left,357
33,32,up,60
33,41,right,60
34,35,down,60
34,54,right,238
35,27,left,60
35,34,up,60
35,42,right,118
36,37,down,60
36,43,right,118
37,29,left,60
37,36,up,60
37,44,right,118
38,39,down,60
38,46,right,118
39,31,left,60
39,38,up,60
39,47,right,118
40,48,right,118
40,41,down,60
41,33,left,60
41,40,up,60
41,67,right,358
42,35,left,118
42,43,down,60
43,42,up,60
43,36,left,118
43,55,right,120
44,37,left,118
44,45,down,100
45,44,up,100
45,50,right,60
45,46,down,100
46,38,left,118
46,45,up,100
46,51,right,60
47,39,left,118
47,48,down,60
47,52,right,60
48,40,left,118
48,47,up,60
49,50,down,100
49,56,right,60
50,45,left,60
50,49,up,100
50,51,down,100
50,15,right,415
51,46,left,60
51,50,up,100
51,57,right,60
52,47,left,60
52,58,right,60
52,53,down,60
53,52,up,60
53,60,right,120
54,34,left,238
54,55,down,120
54,61,right,120
55,54,up,120
55,43,left,120
55,62,right,120
55,56,down,60
56,55,up,60
56,49,left,60
56,63,right,120
57,51,left,60
57,58,down,60
57,64,right,120
58,52,left,60
58,57,up,60
59,65,right,60
59,60,down,60
60,59,up,60
60,53,left,120
60,66,right,60
61,54,left,120
61,62,down,120
62,61,up,120
62,55,left,120
62,63,down,60
63,62,up,60
63,56,left,120
64,57,left,120
64,65,down,60
65,64,up,60
65,59,left,60
66,60,left,60
66,67,down,60
67,66,up,60
67,41,left,358
68,69,down,40
69,70,down,30
70,73,right,45
73,76,right,44
76,75,up,30
75,72,left,44
75,78,right,41
72,71,up,40
78,77,up,40
77,74,left,41
71,74,right,44
74,83,up,60
80,81,down,40
81,82,down,30
82,79,left,45
79,76,up,41
83,37,right,28
83,29,left,32
