0,413,170
1,413,290
2,413,350
3,413,550
4,413,610
5,413,670
6,413,730
7,473,610
8,473,670
9,533,170
10,533,290
11,533,350
12,533,550
13,533,610
14,593,350
15,593,450
16,593,550
17,593,610
18,593,670
19,653,230
20,653,290
21,653,350
22,653,450
23,653,550
24,653,610
25,653,670
26,770,170
27,770,230
28,770,290
29,770,350
30,770,550
31,770,610
32,770,670
33,770,730
34,830,170
35,830,230
36,830,290
37,830,350
38,830,550
39,830,610
40,830,670
41,830,730
42,948,230
43,948,290
44,948,350
45,948,450
46,948,550
47,948,610
48,948,670
49,1008,350
50,1008,450
51,1008,550
52,1008,610
53,1008,670
54,1068,170
55,1068,290
56,1068,350
57,1068,550
58,1068,610
59,1128,610
60,1128,670
61,1188,170
62,1188,290
63,1188,350
64,1188,550
65,1188,610
66,1188,670
67,1188,730
68,713,410
69,713,450
70,713,480
71,758,410
72,758,450
73,758,480
74,802,410
75,802,450
76,802,480
77,843,410
78,843,450
79,843,480
80,888,410
81,888,450
82,888,480
83,802,350
