413,170
413,200
413,230
413,260
413,290
413,320
413,350
413,450
413,550
413,580
413,610
413,670
413,700
413,730
443,170
443,290
443,350
443,450
443,550
443,610
443,670
443,730
473,170
473,290
473,350
473,450
473,550
473,610
473,640
473,670
473,730
503,170
503,290
503,350
503,450
503,550
503,670
503,730
533,170
533,200
533,230
533,260
533,290
533,320
533,350
533,450
533,550
533,580
533,610
533,670
533,730
563,170
563,290
563,350
563,450
563,550
563,610
563,670
563,730
593,170
593,290
593,350
593,380
593,410
593,450
593,490
593,520
593,550
593,610
593,640
593,670
593,730
623,170
623,290
623,450
623,550
623,610
623,730
653,170
653,230
653,260
653,290
653,350
653,380
653,410
653,450
653,490
653,520
653,550
653,610
653,640
653,670
653,730
683,170
683,230
683,290
683,350
683,550
683,610
683,670
683,730
713,170
713,230
713,290
713,350
713,550
713,610
713,670
713,730
743,170
743,230
743,290
743,350
743,550
743,610
743,670
743,730
773,170
773,200
773,230
773,290
773,320
773,350
773,550
773,580
773,670
773,700
773,730
801,230
801,350
801,730
1189,170
1189,200
1189,230
1189,260
1189,290
1189,320
1189,350
1189,450
1189,550
1189,580
1189,610
1189,670
1189,700
1189,730
1159,170
1159,290
1159,350
1159,450
1159,550
1159,610
1159,670
1159,730
1129,170
1129,290
1129,350
1129,450
1129,550
1129,610
1129,640
1129,670
1129,730
1099,170
1099,290
1099,350
1099,450
1099,550
1099,670
1099,730
1069,170
1069,200
1069,230
1069,260
1069,290
1069,320
1069,350
1069,450
1069,550
1069,580
1069,670
1069,730
1039,170
1039,290
1039,350
1039,450
1039,550
1039,670
1039,730
1009,170
1009,290
1009,350
1009,380
1009,410
1009,450
1009,490
1009,520
1009,550
1009,640
1009,670
1009,730
979,170
979,290
979,450
979,550
979,730
949,170
949,230
949,260
949,290
949,350
949,380
949,410
949,450
949,490
949,520
949,550
949,640
949,670
949,730
919,170
919,230
919,290
919,350
919,550
919,670
919,730
889,170
889,230
889,290
889,350
889,550
889,670
889,730
859,170
859,230
859,290
859,350
859,550
859,670
859,730
829,170
829,200
829,230
829,290
829,320
829,350
829,550
829,580
829,670
829,700
829,730
383,450
1219,450
